ITEM_20150317_000001	無_helmet
ITEM_20150317_000002	角鬥士頭盔
ITEM_20150317_000003	無_armband
ITEM_20150317_000004	赤紅臂環
ITEM_20150317_000005	臂環
ITEM_20150317_000006	結繩臂環
ITEM_20150317_000007	長臂環
ITEM_20150317_000008	羽毛臂環
ITEM_20150317_000009	流蘇臂環
ITEM_20150317_000010	無_weapon
ITEM_20150317_000011	劣質短劍
ITEM_20150317_000012	單手劍[斬擊]
ITEM_20150317_000013	短劍是王國士兵的基本武器之一，在民間也被廣泛使用。
ITEM_20150317_000014	短劍
ITEM_20150317_000015	性能比軍用劍還要好。
ITEM_20150317_000016	低階偃月刀
ITEM_20150317_000017	斬擊性能優越的劍。
ITEM_20150317_000018	低階卡斯卡拉劍
ITEM_20150317_000019	製造容易，冒險家們初次換劍時會經常選擇。
ITEM_20150317_000020	五指劍
ITEM_20150317_000021	如果想要更重、更強的劍，建議就是這一把。
ITEM_20150317_000022	軍刀
ITEM_20150317_000023	騎兵們的基本武裝，擁有適合斬擊的構造。有劍柄，也有保護手的效果。
ITEM_20150317_000024	彎刀
ITEM_20150317_000025	很彎曲像新月的劍刃，在斬擊上很有威力。
ITEM_20150317_000026	單刃刀
ITEM_20150317_000027	重量有一點重，但是在斬擊上具有相對的威力。
ITEM_20150317_000028	波形刀
ITEM_20150317_000029	彎彎曲曲的劍刃可造成嚴重的傷害。是一把同時追求裝飾和實用性的劍。
ITEM_20150317_000030	刺刀
ITEM_20150317_000031	切割力非常優秀，經驗豐富的劍客們都喜歡使用。
ITEM_20150317_000032	劣質彎刀
ITEM_20150317_000033	劣質單刃刀
ITEM_20150317_000034	士兵的短劍
ITEM_20150317_000035	提供給正規兵的短劍。和民間製作短劍相比，性能更好。
ITEM_20150317_000036	村長的偃月刀
ITEM_20150317_000037	讓人懷疑前主人的過去的物品。
ITEM_20150317_000038	劣質卡斯卡拉劍
ITEM_20150317_000039	摩普拉長劍
ITEM_20150317_000040	同時具備實用性和美感的劍。
ITEM_20150317_000041	沉重短劍
ITEM_20150317_000042	偃月刀
ITEM_20150317_000043	沉重偃月刀
ITEM_20150317_000044	卡斯卡拉劍
ITEM_20150317_000045	沉重五指劍
ITEM_20150317_000046	沉重軍刀
ITEM_20150317_000047	沉重彎刀
ITEM_20150317_000048	鄧凱爾軍刀
ITEM_20150317_000049	鄧凱爾刺刀
ITEM_20150317_000050	鄧凱爾偃月刀
ITEM_20150317_000051	鄧凱爾卡斯卡拉劍
ITEM_20150317_000052	鄧凱爾五指劍
ITEM_20150317_000053	鄧凱爾彎刀
ITEM_20150317_000054	小柄
ITEM_20150317_000055	沒有說明。
ITEM_20150317_000056	闊刃彎刀
ITEM_20150317_000057	賽伊夫劍
ITEM_20150317_000058	克里希馬德禮劍
ITEM_20150317_000059	菲蘭奇劍
ITEM_20150317_000060	射擊卡特短劍
ITEM_20150317_000061	黛米溫劍
ITEM_20150317_000062	至尊劍
ITEM_20150317_000063	潘圖劍
ITEM_20150317_000064	潘圖們所使用的劍，但是如果親自製作，可以製作出更好的潘圖劍。
ITEM_20150317_000065	佛羅納斯軍刀
ITEM_20150317_000066	有些人說這把刀顯現植物對動物的情感。
ITEM_20150317_000067	金光偃月刀
ITEM_20150317_000068	可能因為金光象徵幸運，所以金光偃月刀在戰場上總是處於優勢，對敵人造成嚴重傷害。
ITEM_20150317_000069	鋼鐵偃月刀
ITEM_20150317_000070	如果是追求精緻劍法的劍士，那麼鋼鐵偃月刀會是個好選擇。
ITEM_20150317_000071	銀光偃月刀
ITEM_20150317_000072	輕巧但又意外地堅固，可以好好發揮充滿劍士力量的攻擊。
ITEM_20150317_000073	曼德拉菁英劍
ITEM_20150317_000074	聽說此劍充滿曼德拉古拉的力量，有提神醒腦之效。
ITEM_20150317_000075	法師刀鋒劍
ITEM_20150317_000076	如果魔法師使用劍，不要覺得好笑，特別是這把法師刀鋒劍。
ITEM_20150317_000077	凱米尼斯劍
ITEM_20150317_000078	古老的溫特史普恩家門中的鍊金術士主張說他可以製造出比鐵匠更好的劍，這是用他交出來的製作法為基礎所製作的劍。
ITEM_20150317_000079	奧茲塔斯劍
ITEM_20150317_000080	昂貴的武器，但是商人希望你常來買，而不是長久使用。
ITEM_20150317_000081	米斯卡斯軍刀
ITEM_20150317_000082	可以讓你的劍法更俐落的武器。
ITEM_20150317_000083	印帕勒尼劍
ITEM_20150317_000084	就連刀劍名家們還是常常提到第一次擺脫新手氣息時，拿著這把劍的激動心情。
ITEM_20150317_000085	葛瑞達斯劍
ITEM_20150317_000086	優秀的冒險們用過的劍，相反地這把劍常在很強的怪物身體裡被發現。持有這把劍的人，不知不覺中會繼承前主人的復仇意志。
ITEM_20150317_000087	騎兵劍
ITEM_20150317_000088	劍刃的長度變長，彌補了短劍本身的缺點。
ITEM_20150317_000089	阿拉斯的偃月刀
